Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days,% change_5d,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
5/25/2012,31.91,68.85554362,0.78,0.44,37189630.0,1.590689585,0.822449195,3.0,1.0,3.0,3.36364,7.36364,0.13580240207288785,0.4074072062186636,0.45679039170844854,68226.29353,0.5561,33.5,2.7958157035112308,3.1734496287513725,3.487597562356125,-0.1360595106691288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/29/2012,28.84,62.23108361,0.78,0.44,78060800.0,1.590689585,0.822449195,3.0,1.0,3.0,3.36364,7.36364,0.13580240207288785,0.4074072062186636,0.45679039170844854,61662.37247,0.5561,33.63,1.1633701044809435,2.4180607473299305,3.487597562356125,-0.06229797237731416,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
5/30/2012,28.19,60.82851064,0.78,0.44,57267870.0,1.590689585,0.822449195,3.0,1.0,3.0,3.36364,7.36364,0.13580240207288785,0.4074072062186636,0.45679039170844854,60272.61719,0.5561,32.96,1.5796297034431839,2.404692470520457,3.487597562356125,-0.06967741935483872,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
5/31/2012,29.6,63.87101507,0.78,0.44,111639200.0,1.590689585,0.822449195,4.0,1.0,3.0,3.5,7.5,0.13333333333333333,0.4,0.4666666666666667,63287.3171,0.5455,33.15,2.138838469824217,2.4793109459417693,3.487597562356125,-0.11906249999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
6/1/2012,27.72,59.81434249,0.78,0.41,41855500.0,1.590689585,0.822449195,5.0,1.0,3.0,3.61538,7.61538,0.1313132108968955,0.3939396326906865,0.47474715641241805,59267.71723,0.5405,31.93,2.068678322021092,2.387705939925509,3.487597562356125,-0.1038449894035725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/4/2012,26.9,58.04494275,0.78,0.41,35230290.0,1.590689585,0.822449195,5.0,1.0,3.0,3.5,7.5,0.13333333333333333,0.4,0.4666666666666667,57514.4875,0.5397,31.0,1.6454999240352461,1.8087798496346774,3.487597562356125,-0.13130680037605771,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/5/2012,25.869,55.82024625,0.78,0.41,42473260.0,1.590689585,0.822449195,5.0,1.0,4.0,3.57143,8.57143,0.11666664722222547,0.4666665888889019,0.4166667638888727,55310.12182,0.5397,31.99,1.0341179816636021,1.1549147347074786,3.487597562356125,-0.06726768377253818,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/6/2012,26.81,57.85074034,0.78,0.46,61487020.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,57322.05984,0.5601,33.07,1.3994010147202276,1.0446990209837692,3.487597562356125,-0.08233416105001778,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/7/2012,26.31,56.77183806,0.78,0.46,26167760.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,56253.01732,0.5601,32.81,1.4037824617796029,0.9960511142618252,3.487597562356125,-0.09425675675675685,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/8/2012,27.1,58.47650367,0.78,0.46,38033420.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,57942.1045,0.5601,33.68,0.6951231545560826,0.6816123368732242,3.487597562356125,-0.05086580086580087,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/11/2012,27.005,58.27151223,0.78,0.47,28225890.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,57738.98642,0.5678,32.82,0.5006337982997155,1.150443373467619,3.487597562356125,0.007434944237918322,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/12/2012,27.4,59.12384503,0.78,0.47,15822410.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,58583.53001,0.5678,33.77,0.5183673407922227,1.7204209304056313,2.6647202962305183,0.04391356449804783,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/13/2012,27.27,58.84333044,0.78,0.47,17118670.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,58305.57896,0.5678,34.3,0.4043822449119152,2.021836403976456,2.313014353608728,0.02200671391271913,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/14/2012,28.29,61.0442911,0.78,0.47,16854120.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,60486.4257,0.5678,34.65,0.42355046924776296,2.1773513981696007,2.241205749038631,0.03648802736602056,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
