Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days,% change_5d,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
9/10/2004,52.665,145.4649409,1.445,0.875,8707780.0,1.496284323,0.416986394,2.0,2.0,3.0,3.125,8.125,0.24615384615384617,0.36923076923076925,0.38461538461538464,28567.565,1.16,38.2318,0.4686336522274077,2.554095839148475,1.5742046933822385,0.007880996946113656,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/13/2004,53.75,148.4617977,1.455,0.875,7854644.0,1.496284323,0.416986394,2.0,2.0,4.0,3.11111,9.11111,0.2195122218917344,0.4390244437834688,0.34146333432479686,29156.11162,1.18,38.2318,0.9664147660295749,3.0164298249567953,1.51521034214804,0.05319468053194674,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/14/2004,55.745,153.9721472,1.455,0.875,10976720.0,1.496284323,0.416986394,2.0,2.0,5.0,3.1,10.1,0.19801980198019803,0.49504950495049505,0.3069306930693069,30238.278,1.18,38.2318,1.2606873125402667,3.2430404544021476,1.4774007903199777,0.05827918881669622,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/15/2004,56.0,154.6764776,1.455,0.875,10724900.0,1.496284323,0.416986394,2.0,2.0,5.0,3.1,10.1,0.19801980198019803,0.49504950495049505,0.3069306930693069,30376.60002,1.18,38.2318,1.935137592007348,3.181738212920031,1.6312799532006401,0.08983382209188659,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/16/2004,56.985,157.3971263,1.455,0.875,9275580.0,1.496284323,0.416986394,2.0,2.0,5.0,3.1,10.1,0.19801980198019803,0.49504950495049505,0.3069306930693069,30910.90271,1.18,38.2318,2.0548680006268034,2.9752722097687494,1.9242928818758571,0.09471214935001464,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/17/2004,58.745,162.2583871,1.455,0.875,9497260.0,1.496284323,0.416986394,2.0,2.0,5.0,3.1,10.1,0.19801980198019803,0.49504950495049505,0.3069306930693069,31865.59586,1.18,38.2318,1.7681749065067063,2.6210937072569953,2.272751217189882,0.08202791227570494,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/20/2004,59.68,164.8409318,1.455,0.855,10665120.0,1.496284323,0.416986394,2.0,2.0,5.0,3.18182,10.18182,0.19642853635204707,0.49107134088011767,0.31250012276783523,32372.77659,1.1571,38.2318,1.825695073115989,2.1921435476111806,2.766241562292125,0.09293023255813948,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/21/2004,58.92,162.741751,1.455,0.855,7235806.0,1.496284323,0.340680652,2.0,2.0,5.0,3.18182,10.18182,0.19642853635204707,0.49107134088011767,0.31250012276783523,31960.52273,1.1571,38.2318,1.7229241132446895,1.6424764500256583,3.2785025980947884,0.07058929051932913,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/22/2004,59.19,163.4875126,1.455,0.65,7588786.0,1.496284323,0.3399944,2.0,2.0,5.0,3.25,10.25,0.1951219512195122,0.4878048780487805,0.3170731707317073,32106.98134,1.1301,38.2318,1.5192325365130908,1.986590392831116,3.508843148118085,0.05214285714285717,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/23/2004,60.41,166.8572502,1.455,0.67,8546160.0,1.496284323,0.300023631,2.0,2.0,6.0,3.23077,11.23077,0.17808217958341235,0.5342465387502371,0.2876712816663506,32768.75727,1.1416,38.2318,1.0237272585996722,2.4855263806463403,3.6801639456234367,0.038694393261384546,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
