Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days,% change_5d,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
8/10/2010,28.88840055,11.63900138,4.85,2.88,34166430.0,0.836840155,0.294579027,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,155315.607,3.9762,33.33,0.4704214145769449,1.1769146992396011,0.6183981474722032,-0.030671859607252935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8/11/2010,27.85588176,11.2230044,4.85,2.88,46201520.0,0.836840155,0.295585875,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,149764.3727,3.9762,31.99,0.6799417721422575,1.162780077074763,0.6436426258232524,-0.051344150990022354,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8/12/2010,27.8853823,11.23489002,4.85,2.88,35387300.0,0.836840155,0.295971745,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,149922.9794,3.9762,32.13,0.9779021885156827,1.0244931825438865,0.7234211643991127,-0.08480736614079978,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8/13/2010,27.65675314,11.14277641,4.85,2.88,24564010.0,0.836840155,0.295690947,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,148693.7775,3.9762,32.03,0.8806941691675777,0.8344171179219387,0.845552895263666,-0.06503461928501471,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
8/16/2010,27.79688069,11.19923314,4.85,2.88,28334060.0,0.836840155,0.271106168,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,149447.1593,3.9762,31.9,0.7524191273916373,0.6485572216636516,0.9829221422805627,-0.058262179886273115,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
8/17/2010,27.64200287,11.13683359,4.85,2.88,33883770.0,0.836840155,0.271258767,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,148614.4741,3.9762,32.35,0.4951895991607005,0.46963386456864437,1.0705014841073548,-0.03778401847173231,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
8/18/2010,27.94438337,11.25866128,4.85,2.88,27046140.0,0.836840155,0.268376817,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,150240.1927,4.005,32.54,0.11245568229223102,0.38693027587265016,1.1389879949046136,-0.007678051330154704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0
8/19/2010,27.33962237,11.0150059,4.85,2.88,35387240.0,0.836840155,0.257651988,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,146988.7555,4.005,31.79,0.1346441787532019,0.4465594852236643,1.171567287260043,0.002115842249005163,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8/20/2010,27.39124831,11.03580575,4.85,2.88,30866390.0,0.836840155,0.240799728,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,147266.3172,4.005,31.61,0.2243423195532417,0.5427150052257634,1.2401592286811502,-0.011466666690578798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8/23/2010,27.19949482,10.95854917,4.85,2.88,29282750.0,0.836840155,0.234959279,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,146235.3737,4.0183,31.5,0.2587926062480529,0.5302442794980745,1.2787749861564972,-0.014592730188820211,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
